tick,open,high,low,close
1,20.0,20.0,20.0,20.0
2,20.0,20.0,19.72,19.72
3,19.72,20.01,19.72,20.01
4,20.01,20.04,20.01,20.04
5,20.04,20.04,19.68,19.68
6,19.68,19.69,19.67,19.67
7,19.67,19.67,19.62,19.65
8,19.65,19.65,19.6,19.6
9,19.6,19.8,19.6,19.8
10,19.8,20.2,19.8,20.2
11,20.2,20.2,19.74,19.74
12,19.74,19.96,19.74,19.96
13,19.96,19.96,19.84,19.84
14,19.84,20.33,19.84,20.33
15,20.33,20.61,20.33,20.61
16,20.61,20.61,20.28,20.28
17,20.28,20.32,20.28,20.32
18,20.32,20.32,20.07,20.07
19,20.07,20.22,20.07,20.2
20,20.2,20.29,20.2,20.29
21,20.29,20.29,20.11,20.14
22,20.14,20.14,20.0,20.0
23,20.0,20.22,20.0,20.22
24,20.22,20.34,20.22,20.34
25,20.34,20.43,20.34,20.39
26,20.39,20.39,20.34,20.35
27,20.35,20.35,19.67,19.67
28,19.67,19.72,19.67,19.72
29,19.72,19.72,19.53,19.55
30,19.55,19.76,19.55,19.76
31,19.76,19.95,19.76,19.92
32,19.92,20.38,19.92,20.38
33,20.38,20.38,20.38,20.38
34,20.38,20.55,20.38,20.55
35,20.55,20.55,20.23,20.23
36,20.23,20.26,20.23,20.23
37,20.23,20.23,20.09,20.09
38,20.09,20.09,19.92,19.93
39,19.93,20.12,19.93,20.09
40,20.09,20.09,19.73,19.73
41,19.73,19.73,19.66,19.66
42,19.66,19.66,19.26,19.26
43,19.26,19.34,19.26,19.33
44,19.33,19.33,19.24,19.27
45,19.27,19.36,19.27,19.34
46,19.34,19.34,18.92,18.95
47,18.95,18.97,18.94,18.94
48,18.94,18.94,18.62,18.62
49,18.62,18.76,18.62,18.73
50,18.73,18.98,18.73,18.98
51,18.98,18.99,18.96,18.96
52,18.96,18.96,18.87,18.9
53,18.9,18.9,18.75,18.75
54,18.75,18.84,18.75,18.84
55,18.84,19.04,18.84,19.04
56,19.04,19.33,19.04,19.33
57,19.33,19.33,19.0,19.05
58,19.05,19.05,18.92,18.95
59,18.95,19.26,18.95,19.23
60,19.23,19.27,19.23,19.24
61,19.24,19.24,19.19,19.19
62,19.19,19.19,18.99,18.99
63,18.99,19.12,18.99,19.12
64,19.12,19.2,19.12,19.2
65,19.2,19.2,19.03,19.06
66,19.06,19.06,19.03,19.06
67,19.06,19.29,19.06,19.29
68,19.29,19.29,19.15,19.15
69,19.15,19.33,19.15,19.33
70,19.33,19.33,19.25,19.26
71,19.26,19.46,19.26,19.46
72,19.46,19.53,19.46,19.53
73,19.53,19.53,19.48,19.48
74,19.48,19.87,19.48,19.87
75,19.87,19.87,19.79,19.82
76,19.82,19.82,19.67,19.67
77,19.67,19.67,19.59,19.62
78,19.62,19.62,19.54,19.54
79,19.54,19.73,19.54,19.72
80,19.72,19.72,19.5,19.5
81,19.5,19.5,19.36,19.36
82,19.36,19.44,19.36,19.43
83,19.43,19.43,19.39,19.39
84,19.39,19.51,19.39,19.48
85,19.48,19.49,19.48,19.49
86,19.49,19.49,19.34,19.34
87,19.34,19.34,19.22,19.28
88,19.28,19.32,19.28,19.32
89,19.32,19.32,19.15,19.18
90,19.18,19.25,19.18,19.25
91,19.25,19.25,19.15,19.15
92,19.15,19.3,19.15,19.27
93,19.27,19.31,19.27,19.31
94,19.31,19.42,19.31,19.4
95,19.4,19.92,19.4,19.92
96,19.92,19.92,19.84,19.84
97,19.84,20.08,19.84,20.06
98,20.06,20.48,20.06,20.48
99,20.48,20.51,20.48,20.48
100,20.48,20.66,20.48,20.66
101,20.66,20.66,20.46,20.46
102,20.46,20.46,20.36,20.36
103,20.36,20.36,20.28,20.31
104,20.31,20.37,20.31,20.34
105,20.34,20.53,20.34,20.53
106,20.53,20.65,20.53,20.62
107,20.62,20.75,20.62,20.75
108,20.75,20.75,20.47,20.47
109,20.47,20.47,20.35,20.35
110,20.35,20.55,20.35,20.55
111,20.55,20.6,20.55,20.57
112,20.57,20.65,20.57,20.65
113,20.65,21.3,20.65,21.25
114,21.25,21.33,21.25,21.33
115,21.33,21.37,21.33,21.36
116,21.36,21.36,21.23,21.26
117,21.26,21.47,21.26,21.46
118,21.46,21.46,21.16,21.18
119,21.18,21.18,20.94,20.94
120,20.94,21.26,20.94,21.24
121,21.24,21.47,21.24,21.44
122,21.44,21.83,21.44,21.83
123,21.83,21.83,21.54,21.56
124,21.56,21.56,21.48,21.48
125,21.48,21.48,21.0,21.03
126,21.03,21.1,21.03,21.08
127,21.08,21.08,20.72,20.74
128,20.74,20.74,20.56,20.56
129,20.56,20.69,20.56,20.68
130,20.68,20.68,20.39,20.39
131,20.39,20.6,20.39,20.58
132,20.58,20.58,20.12,20.14
133,20.14,20.62,20.14,20.62
134,20.62,20.62,20.51,20.51
135,20.51,20.8,20.51,20.8
136,20.8,20.8,20.69,20.69
137,20.69,20.69,20.54,20.55
138,20.55,20.55,20.28,20.29
139,20.29,20.29,20.24,20.24
140,20.24,20.24,20.08,20.1
141,20.1,20.1,20.01,20.01
142,20.01,20.05,20.01,20.04
143,20.04,20.1,20.04,20.08
144,20.08,20.14,20.08,20.14
145,20.14,20.14,20.08,20.08
146,20.08,20.1,20.07,20.1
147,20.1,20.18,20.1,20.18
148,20.18,20.18,20.11,20.15
149,20.15,20.37,20.15,20.33
150,20.33,20.33,20.26,20.29
151,20.29,20.29,19.94,19.97
152,19.97,19.97,19.69,19.69
153,19.69,19.82,19.69,19.82
154,19.82,19.93,19.82,19.9
155,19.9,20.26,19.9,20.26
156,20.26,20.26,20.0,20.0
157,20.0,20.04,20.0,20.03
158,20.03,20.1,20.03,20.1
159,20.1,20.32,20.1,20.32
160,20.32,20.58,20.32,20.56
161,20.56,20.88,20.56,20.88
162,20.88,21.01,20.88,20.99
163,20.99,20.99,20.68,20.7
164,20.7,20.7,20.54,20.56
165,20.56,20.63,20.56,20.62
166,20.62,20.62,20.59,20.59
