tick,open,high,low,close
1,20.0,20.03,19.98,19.98
2,19.98,20.08,19.98,20.08
3,20.08,20.08,19.98,20.01
4,20.01,20.01,19.97,19.97
5,19.97,19.97,19.91,19.91
6,19.91,20.01,19.91,19.98
7,19.98,19.98,19.88,19.94
8,19.94,20.07,19.94,20.04
9,20.04,20.13,20.04,20.13
10,20.13,20.13,20.09,20.09
11,20.09,20.16,20.09,20.16
12,20.16,20.16,20.09,20.11
13,20.11,20.21,20.11,20.21
14,20.21,20.27,20.21,20.27
15,20.27,20.27,20.17,20.17
16,20.17,20.27,20.17,20.24
17,20.24,20.26,20.24,20.26
18,20.26,20.26,20.26,20.26
19,20.26,20.31,20.26,20.28
20,20.28,20.28,20.25,20.28
21,20.28,20.28,20.17,20.17
22,20.17,20.4,20.17,20.4
23,20.4,20.64,20.4,20.64
24,20.64,20.64,20.59,20.59
25,20.59,20.59,20.32,20.32
26,20.32,20.37,20.32,20.37
27,20.37,20.51,20.37,20.48
28,20.48,20.54,20.48,20.54
29,20.54,20.92,20.54,20.92
30,20.92,20.98,20.92,20.98
31,20.98,20.98,20.94,20.97
32,20.97,20.97,20.92,20.92
33,20.92,21.0,20.92,21.0
34,21.0,21.02,21.0,21.02
35,21.02,21.04,21.02,21.04
36,21.04,21.18,21.04,21.15
37,21.15,21.32,21.15,21.32
38,21.32,21.37,21.32,21.36
39,21.36,21.43,21.36,21.43
40,21.43,21.43,21.38,21.38
41,21.38,21.46,21.38,21.46
42,21.46,21.58,21.46,21.58
43,21.58,21.71,21.58,21.71
44,21.71,21.91,21.71,21.88
45,21.88,21.89,21.88,21.89
46,21.89,21.94,21.89,21.91
47,21.91,21.93,21.9,21.93
48,21.93,21.93,21.87,21.87
49,21.87,21.87,21.81,21.81
50,21.81,21.98,21.81,21.98
51,21.98,22.01,21.98,22.01
52,22.01,22.02,22.01,22.02
53,22.02,22.02,21.91,21.92
54,21.92,21.92,21.92,21.92
55,21.92,21.92,21.92,21.92
56,21.92,21.92,21.83,21.83
57,21.83,21.94,21.83,21.94
58,21.94,21.94,21.75,21.78
59,21.78,21.99,21.78,21.99
60,21.99,22.11,21.99,22.08
