id,period,tick,price,quantity
1,1,0,20.0,44400.0
4,1,1,20.03,16900.0
2,1,1,19.97,41600.0
3,1,1,20.0,40100.0
5,1,3,19.95,44900.0
6,1,3,19.96,40500.0
7,1,4,20.0,49800.0
9,1,5,19.89,10200.0
8,1,5,19.89,48900.0
10,1,5,19.9,34400.0
11,1,6,19.98,41800.0
12,1,6,20.01,51700.0
13,1,6,20.02,2800.0
14,1,6,20.02,39500.0
15,1,6,20.04,5400.0
16,1,7,19.88,42600.0
17,1,9,20.13,42000.0
19,1,10,20.07,1200.0
18,1,10,20.08,55400.0
20,1,12,20.12,46100.0
21,1,12,20.07,40000.0
22,1,12,20.06,600.0
23,1,13,20.18,43600.0
24,1,13,20.22,43800.0
25,1,14,20.27,46100.0
26,1,15,20.18,41400.0
27,1,17,20.23,51300.0
28,1,20,20.22,44800.0
29,1,21,20.2,44100.0
31,1,22,20.37,2300.0
30,1,22,20.38,43100.0
32,1,23,20.67,47000.0
33,1,24,20.58,39000.0
34,1,24,20.59,2100.0
35,1,26,20.34,46100.0
36,1,27,20.53,53200.0
38,1,28,20.51,48000.0
37,1,28,20.51,44600.0
39,1,29,20.86,48600.0
40,1,30,21.0,38100.0
41,1,30,20.95,40600.0
42,1,31,20.97,55700.0
43,1,31,20.94,52700.0
44,1,34,20.97,49100.0
45,1,34,21.0,44600.0
46,1,34,21.01,11600.0
47,1,35,21.01,44700.0
49,1,36,21.16,9200.0
48,1,36,21.16,41200.0
51,1,37,21.32,38400.0
50,1,37,21.29,47300.0
52,1,37,21.35,4600.0
53,1,38,21.34,46200.0
54,1,39,21.41,44700.0
55,1,39,21.4,2800.0
56,1,40,21.38,44400.0
57,1,41,21.44,50400.0
58,1,42,21.61,47600.0
59,1,42,21.61,41000.0
60,1,43,21.7,45800.0
61,1,44,21.94,49500.0
62,1,44,21.89,44100.0
63,1,45,21.88,36800.0
64,1,45,21.88,8700.0
67,1,46,21.97,32700.0
65,1,46,21.96,41800.0
66,1,46,21.95,7600.0
69,1,47,21.91,44500.0
68,1,47,21.87,52300.0
70,1,48,21.9,36500.0
72,1,49,21.84,46700.0
73,1,49,21.85,41500.0
71,1,49,21.81,53800.0
74,1,50,21.92,49800.0
78,1,51,22.0,42500.0
79,1,51,21.98,3500.0
76,1,51,22.04,52100.0
75,1,51,21.98,53400.0
77,1,51,22.04,36400.0
81,1,54,21.94,39700.0
80,1,54,21.89,42000.0
82,1,56,21.83,41400.0
83,1,57,21.91,45800.0
84,1,57,21.91,40300.0
85,1,59,21.95,40100.0
88,1,60,22.12,36800.0
86,1,60,22.11,40200.0
87,1,60,22.11,10400.0
89,1,61,22.09,41700.0
90,1,61,22.11,3000.0
91,1,66,22.41,46400.0
92,1,66,22.43,40600.0
95,1,67,22.67,38700.0
93,1,67,22.69,41300.0
94,1,67,22.67,9700.0
96,1,70,22.75,46900.0
97,1,72,22.79,52500.0
98,1,72,22.8,41100.0
99,1,72,22.8,1500.0
100,1,72,22.8,35600.0
101,1,73,23.04,42700.0
102,1,75,23.22,47100.0
103,1,75,23.2,46900.0
105,1,77,23.28,2700.0
104,1,77,23.29,34400.0
106,1,80,23.39,41700.0
107,1,80,23.38,9100.0
111,1,81,23.35,41100.0
108,1,81,23.38,39800.0
109,1,81,23.38,7800.0
110,1,81,23.35,37200.0
112,1,83,23.23,44500.0
113,1,85,23.32,49100.0
114,1,86,23.42,44800.0
115,1,88,23.31,46200.0
116,1,89,23.36,41400.0
117,1,90,23.63,44700.0
118,1,92,23.82,39500.0
119,1,94,24.08,42500.0
120,1,96,23.93,46100.0
121,1,96,23.92,40700.0
122,1,97,23.82,40900.0
123,1,98,23.98,38300.0
125,1,101,24.34,7100.0
124,1,101,24.32,40800.0
126,1,102,24.21,41400.0
127,1,103,24.53,36600.0
128,1,104,24.53,34900.0
129,1,104,24.52,38000.0
130,1,104,24.51,5600.0
131,1,107,24.22,35900.0
132,1,108,24.04,34000.0
133,1,109,24.18,38100.0
134,1,110,24.19,44000.0
136,1,112,24.19,45000.0
135,1,112,24.15,49300.0
137,1,113,24.23,35500.0
138,1,115,24.24,48500.0
139,1,115,24.27,44000.0
140,1,115,24.26,2900.0
141,1,116,24.2,38500.0
142,1,117,24.07,44500.0
143,1,117,24.05,34900.0
144,1,118,23.96,46900.0
145,1,118,23.92,39000.0
148,1,120,23.64,38800.0
146,1,120,23.65,34500.0
147,1,120,23.65,3600.0
149,1,121,23.36,41900.0
150,1,122,23.47,46000.0
151,1,124,23.41,39900.0
152,1,126,23.29,35100.0
153,1,128,23.5,36700.0
154,1,129,23.39,38400.0
155,1,129,23.42,41900.0
158,1,131,23.51,2300.0
156,1,131,23.51,45000.0
157,1,131,23.49,34300.0
159,1,134,23.86,47200.0
160,1,136,23.8,35200.0
161,1,136,23.79,1900.0
162,1,136,23.82,39300.0
163,1,136,23.83,5700.0
164,1,137,23.96,45700.0
165,1,139,24.34,49500.0
166,1,140,24.31,41200.0
168,1,141,24.36,4700.0
167,1,141,24.36,39600.0
169,1,142,24.29,41200.0
170,1,143,24.31,45500.0
171,1,143,24.31,33000.0
172,1,144,24.28,33200.0
173,1,144,24.29,38600.0
174,1,145,24.25,49600.0
175,1,146,24.19,41200.0
176,1,146,24.22,3800.0
177,1,147,24.17,37000.0
178,1,148,24.14,36600.0
179,1,149,24.16,36600.0
180,1,149,24.17,9400.0
185,1,151,24.21,200.0
184,1,151,24.23,44100.0
181,1,151,24.21,39900.0
182,1,151,24.23,34500.0
183,1,151,24.23,3600.0
186,1,152,24.42,44400.0
187,1,152,24.42,37800.0
188,1,153,24.49,43000.0
189,1,153,24.5,32900.0
190,1,154,24.75,35100.0
191,1,155,24.75,32300.0
192,1,156,25.0,36700.0
193,1,156,25.01,31600.0
194,1,157,25.01,35200.0
195,1,158,25.18,43200.0
