tick,avg_trade_volume,total_volume
0,44400.0,44400.0
1,32866.666666666664,98600.0
3,42700.0,85400.0
4,49800.0,49800.0
5,31166.666666666668,93500.0
6,28240.0,141200.0
7,42600.0,42600.0
9,42000.0,42000.0
10,28300.0,56600.0
12,28900.0,86700.0
13,43700.0,87400.0
14,46100.0,46100.0
15,41400.0,41400.0
17,51300.0,51300.0
20,44800.0,44800.0
21,44100.0,44100.0
22,22700.0,45400.0
23,47000.0,47000.0
24,20550.0,41100.0
26,46100.0,46100.0
27,53200.0,53200.0
28,46300.0,92600.0
29,48600.0,48600.0
30,39350.0,78700.0
31,54200.0,108400.0
34,35100.0,105300.0
35,44700.0,44700.0
36,25200.0,50400.0
37,30100.0,90300.0
38,46200.0,46200.0
39,23750.0,47500.0
40,44400.0,44400.0
41,50400.0,50400.0
42,44300.0,88600.0
43,45800.0,45800.0
44,46800.0,93600.0
45,22750.0,45500.0
46,27366.666666666668,82100.0
47,48400.0,96800.0
48,36500.0,36500.0
49,47333.333333333336,142000.0
50,49800.0,49800.0
51,37580.0,187900.0
54,40850.0,81700.0
56,41400.0,41400.0
57,43050.0,86100.0
59,40100.0,40100.0
60,29133.333333333332,87400.0
61,22350.0,44700.0
66,43500.0,87000.0
67,29900.0,89700.0
70,46900.0,46900.0
72,32675.0,130700.0
73,42700.0,42700.0
75,47000.0,94000.0
77,18550.0,37100.0
80,25400.0,50800.0
81,31475.0,125900.0
83,44500.0,44500.0
85,49100.0,49100.0
86,44800.0,44800.0
88,46200.0,46200.0
89,41400.0,41400.0
90,44700.0,44700.0
92,39500.0,39500.0
94,42500.0,42500.0
96,43400.0,86800.0
97,40900.0,40900.0
98,38300.0,38300.0
101,23950.0,47900.0
102,41400.0,41400.0
103,36600.0,36600.0
104,26166.666666666668,78500.0
107,35900.0,35900.0
108,34000.0,34000.0
109,38100.0,38100.0
110,44000.0,44000.0
112,47150.0,94300.0
113,35500.0,35500.0
115,31800.0,95400.0
116,38500.0,38500.0
117,39700.0,79400.0
118,42950.0,85900.0
120,25633.333333333332,76900.0
121,41900.0,41900.0
122,46000.0,46000.0
124,39900.0,39900.0
126,35100.0,35100.0
128,36700.0,36700.0
129,40150.0,80300.0
131,27200.0,81600.0
134,47200.0,47200.0
136,20525.0,82100.0
137,45700.0,45700.0
139,49500.0,49500.0
140,41200.0,41200.0
141,22150.0,44300.0
142,41200.0,41200.0
143,39250.0,78500.0
144,35900.0,71800.0
145,49600.0,49600.0
146,22500.0,45000.0
147,37000.0,37000.0
148,36600.0,36600.0
149,23000.0,46000.0
151,24460.0,122300.0
152,41100.0,82200.0
153,37950.0,75900.0
154,35100.0,35100.0
155,32300.0,32300.0
156,34150.0,68300.0
157,35200.0,35200.0
158,43200.0,43200.0
160,40800.0,40800.0
161,23500.0,47000.0
165,37500.0,37500.0
167,31700.0,31700.0
169,33800.0,67600.0
170,22400.0,44800.0
172,45400.0,45400.0
173,37966.666666666664,113900.0
174,34900.0,34900.0
175,24733.333333333332,74200.0
176,21900.0,43800.0
177,20400.0,40800.0
178,39100.0,39100.0
179,39000.0,39000.0
182,45700.0,45700.0
183,21766.666666666668,65300.0
184,35300.0,35300.0
185,17400.0,34800.0
187,38500.0,77000.0
189,34300.0,34300.0
190,39100.0,39100.0
191,21725.0,86900.0
193,19750.0,39500.0
195,25966.666666666668,77900.0
197,33100.0,33100.0
198,44200.0,44200.0
200,40500.0,81000.0
202,17950.0,35900.0
203,35000.0,35000.0
204,39700.0,39700.0
206,41300.0,41300.0
207,25533.333333333332,76600.0
208,37500.0,37500.0
209,31200.0,31200.0
213,34500.0,34500.0
215,32400.0,32400.0
216,29600.0,29600.0
220,38300.0,76600.0
221,27100.0,108400.0
222,41500.0,41500.0
223,34300.0,34300.0
225,32150.0,64300.0
226,29300.0,29300.0
228,18300.0,36600.0
229,37200.0,74400.0
230,32100.0,32100.0
231,31700.0,31700.0
232,27666.666666666668,83000.0
233,25200.0,75600.0
234,31000.0,31000.0
235,37000.0,37000.0
236,30400.0,30400.0
237,33650.0,67300.0
238,35400.0,35400.0
239,33500.0,33500.0
240,34500.0,34500.0
241,42400.0,42400.0
243,24233.333333333332,72700.0
244,41700.0,41700.0
245,34300.0,34300.0
246,17850.0,35700.0
249,41800.0,41800.0
250,18850.0,37700.0
252,35300.0,35300.0
253,32500.0,65000.0
254,31200.0,31200.0
255,33700.0,33700.0
256,28800.0,28800.0
257,15700.0,31400.0
258,35800.0,71600.0
259,37900.0,37900.0
263,34600.0,69200.0
264,38400.0,76800.0
265,35400.0,35400.0
266,35000.0,35000.0
267,35200.0,35200.0
268,38750.0,77500.0
269,32700.0,32700.0
270,20250.0,40500.0
272,36500.0,36500.0
273,31100.0,62200.0
275,20900.0,41800.0
278,39900.0,79800.0
280,29900.0,29900.0
281,33450.0,66900.0
282,23933.333333333332,71800.0
284,32600.0,32600.0
285,35000.0,105000.0
286,28700.0,28700.0
287,36300.0,36300.0
289,31150.0,62300.0
291,30150.0,60300.0
292,15900.0,31800.0
293,29100.0,29100.0
294,38700.0,38700.0
296,30300.0,30300.0
297,23633.333333333332,70900.0
298,18750.0,37500.0
