tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
257,19.84,19.81,19.83,19.85,0,19.83,0,-5000.0,19.99,0.16000000000000014
257,19.84,19.81,19.83,19.85,19.82,19.83,19.87,-5000.0,19.99,0.16000000000000014
257,19.84,19.81,19.83,19.85,19.82,19.83,19.87,-5000.0,19.99,0.16000000000000014
257,19.84,19.81,19.83,19.85,19.82,19.83,19.87,-5000.0,19.99,0.16000000000000014
257,19.84,19.81,19.83,19.85,19.82,19.83,19.87,-5000.0,19.99,0.16000000000000014
257,19.84,19.81,19.83,19.85,19.82,19.83,19.87,-5000.0,19.99,0.16000000000000014
257,19.84,19.81,19.83,19.85,19.82,19.83,19.87,-5000.0,19.99,0.16000000000000014
257,19.85,19.81,19.83,19.85,19.82,19.83,19.87,0.0,0.0,0.0
257,19.85,19.81,19.83,19.85,19.81,19.83,19.85,0.0,0.0,0.0
257,19.85,19.81,19.83,19.85,19.81,19.83,19.85,0.0,0.0,0.0
257,19.85,19.81,19.83,19.85,19.81,19.83,19.85,0.0,0.0,0.0
257,19.85,19.81,19.83,19.85,19.81,19.83,19.85,0.0,0.0,0.0
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.86,19.89,19.92,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.81,19.89,19.85,-5000.0,19.85,-0.03999999999999915
258,19.89,19.88,19.89,19.91,19.88,19.89,19.93,-5000.0,19.85,-0.03999999999999915
