tick,n_transacted,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
100,0,20.17,20.13,20.13,20.14,20.07,20.13,20.19,0.0,0.0,0.0
100,0,20.17,20.13,20.13,20.14,20.07,20.13,20.19,0.0,0.0,0.0
100,0,20.17,20.13,20.13,20.14,20.07,20.13,20.19,0.0,0.0,0.0
100,0,20.17,20.13,20.13,20.14,20.07,20.13,20.19,0.0,0.0,0.0
100,0,20.17,20.13,20.13,20.14,20.07,20.13,20.19,0.0,0.0,0.0
100,0,20.17,20.13,20.13,20.14,20.07,20.13,20.19,0.0,0.0,0.0
100,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.13,20.16,20.07,20.13,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.13,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.11,20.1,20.11,20.11,20.07,20.11,20.19,0.0,0.0,0.0
101,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.19,20.22,20.25,20.07,20.22,20.19,-5000.0,20.19,-0.029999999999997584
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,0,20.22,20.2,20.21,20.23,20.07,20.21,20.19,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
102,1,20.22,20.2,20.21,20.23,20.18,20.21,20.33,-5000.0,20.19,-0.019999999999999574
103,2,20.28,20.25,20.28,20.31,20.22,20.28,20.34,0.0,0.0,0.0
103,2,20.28,20.25,20.28,20.31,20.22,20.28,20.34,0.0,0.0,0.0
103,2,20.28,20.25,20.28,20.31,20.22,20.28,20.34,0.0,0.0,0.0
103,2,20.28,20.25,20.28,20.31,20.22,20.28,20.34,0.0,0.0,0.0
103,2,20.28,20.25,20.28,20.31,20.22,20.28,20.34,0.0,0.0,0.0
