tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
105,0,20.32,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-525.0
105,0,20.32,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-525.0
105,0,20.32,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-525.0
105,0,20.32,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-525.0
105,0,20.29,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-525.0
106,0,20.33,20.3,20.33,20.36,20.28,20.33,20.38,0.0,0.0,0.0,-525.0
106,0,20.33,20.33,20.34,20.36,20.29,20.34,20.39,0.0,0.0,0.0,-525.0
106,0,20.33,20.33,20.34,20.36,20.29,20.34,20.39,0.0,0.0,0.0,-525.0
107,0,20.32,20.29,20.32,20.35,20.27,20.32,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
107,0,20.35,20.3,20.33,20.35,20.27,20.33,20.37,0.0,0.0,0.0,-525.0
108,0,20.4,20.37,20.4,20.43,20.38,20.4,20.5,-5000.0,20.37,-0.029999999999997584,-500.0
108,0,20.4,20.37,20.4,20.43,20.38,20.4,20.5,-5000.0,20.37,-0.029999999999997584,-500.0
108,0,20.43,20.42,20.43,20.43,20.33,20.43,20.45,5000.0,20.43,0.0,-900.0
108,0,20.43,20.42,20.43,20.43,20.33,20.43,20.45,5000.0,20.43,0.0,-900.0
109,0,20.36,20.33,20.35,20.37,20.25,20.35,20.38,5000.0,20.43,-0.0799999999999983,-900.0
109,0,20.36,20.36,20.37,20.37,20.27,20.37,20.4,5000.0,20.43,-0.05999999999999872,-900.0
110,0,20.31,20.28,20.31,20.34,20.21,20.31,20.34,5000.0,20.43,-0.120000000000001,-900.0
110,0,20.31,20.28,20.31,20.34,20.21,20.31,20.34,5000.0,20.43,-0.120000000000001,-900.0
110,0,20.31,20.28,20.31,20.34,20.21,20.31,20.34,5000.0,20.43,-0.120000000000001,-900.0
111,0,20.29,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
111,0,20.26,20.26,20.28,20.3,20.18,20.28,20.3,5000.0,20.43,-0.14999999999999858,-900.0
