tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl,pnl_threshold,realized
58,16.27,16.24,16.27,16.3,16.21,16.27,16.78,-10000.0,15.54,-0.73,0.67,-25.0
58,16.27,16.24,16.27,16.3,16.21,16.27,16.78,-10000.0,15.54,-0.73,0.67,-25.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.3,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
58,16.3,16.24,16.27,16.29,16.21,16.27,16.78,10000.0,16.3,-0.73,0.67,-7825.0
